ID,Block,P1,P2,Fam,yield
1,1,1,5,1_5,80.5
1,2,1,5,1_5,81
2,1,1,6,1_6,72
2,2,1,6,1_6,72
3,1,1,7,1_7,74.5
3,2,1,7,1_7,75.5
4,1,1,8,1_8,79
4,2,1,8,1_8,79.5
5,1,1,9,1_9,77.5
5,2,1,9,1_9,79
6,1,1,10,1_10,75.5
6,2,1,10,1_10,76
7,1,1,11,1_11,79.5
7,2,1,11,1_11,80.5
8,1,2,5,2_5,76.5
8,2,2,5,2_5,77
9,1,2,6,2_6,74
9,2,2,6,2_6,73
10,1,2,7,2_7,77.5
10,2,2,7,2_7,78.5
11,1,2,8,2_8,77.5
11,2,2,8,2_8,77
12,1,2,9,2_9,79
12,2,2,9,2_9,79
13,1,2,10,2_10,79
13,2,2,10,2_10,79.5
14,1,2,11,2_11,80
14,2,2,11,2_11,80.5
15,1,3,5,3_5,76.5
15,2,3,5,3_5,77
16,1,3,6,3_6,70.5
16,2,3,6,3_6,70.5
17,1,3,7,3_7,75
17,2,3,7,3_7,76.5
18,1,3,8,3_8,74.5
18,2,3,8,3_8,75
19,1,3,9,3_9,73.5
19,2,3,9,3_9,75
20,1,3,10,3_10,77.5
20,2,3,10,3_10,76
21,1,3,11,3_11,76
21,2,3,11,3_11,75
22,1,4,5,4_5,78
22,2,4,5,4_5,77.5
23,1,4,6,4_6,71.5
23,2,4,6,4_6,72
24,1,4,7,4_7,73.5
24,2,4,7,4_7,73
25,1,4,8,4_8,76.5
25,2,4,8,4_8,75.5
26,1,4,9,4_9,74.5
26,2,4,9,4_9,75.5
27,1,4,10,4_10,75
27,2,4,10,4_10,76
28,1,4,11,4_11,79.5
28,2,4,11,4_11,78.5
